NAME,GEO_ID,households,CountyFIPS,Annual Median Household Income,Annual Transportation Cost,Annual Housing Cost,Annual Housing and Transportation Cost,Transportation Cost as % of Annual Median Household Income,Housing Cost as % of Annual Median Household Income,Housing and Transportation Cost as % of Annual Median Household Income,'Discretionary Spending': Median Annual Household Income Minus Housing and Transportation Costs,Year
Block Group 2; Census Tract 403.08; Rutherford County; Tennessee,471490403082,494.0,149.0,73417.0,15507.0,13164.0,28671.0,21.121811024694555,17.930452075132465,39.052263099827016,44746.0,2020
Block Group 1; Census Tract 415; Rutherford County; Tennessee,471490415001,14.0,149.0,-666666666.0,7186.0,0.0,7186.0,-0.0010779000010779,-0.0,-0.0010779000010779,-666673852.0,2020
Block Group 2; Census Tract 413.02; Rutherford County; Tennessee,471490413022,528.0,149.0,112682.0,13161.0,18528.0,31689.0,11.679771392059068,16.44273264585293,28.122504037911998,80993.0,2020
Block Group 1; Census Tract 403.04; Rutherford County; Tennessee,471490403041,1392.0,149.0,56699.0,13826.0,10812.0,24638.0,24.384909786768727,19.0691193848216,43.45402917159033,32061.0,2020
Block Group 3; Census Tract 408.06; Rutherford County; Tennessee,471490408063,677.0,149.0,76489.0,15558.0,13152.0,28710.0,20.34017963367282,17.19462929310097,37.534808926773785,47779.0,2020
Block Group 1; Census Tract 409.01; Rutherford County; Tennessee,471490409011,1389.0,149.0,56869.0,11887.0,15624.0,27511.0,20.9024248711952,27.47366755174172,48.37609242293692,29358.0,2020
Block Group 2; Census Tract 409.09; Rutherford County; Tennessee,471490409092,1139.0,149.0,64261.0,14104.0,16812.0,30916.0,21.947993339661693,26.162057857798665,48.11005119746036,33345.0,2020
Block Group 2; Census Tract 403.12; Rutherford County; Tennessee,471490403122,684.0,149.0,87214.0,12129.0,16212.0,28341.0,13.907170867062627,18.588758685532138,32.49592955259477,58873.0,2020
Block Group 1; Census Tract 414.07; Rutherford County; Tennessee,471490414071,1612.0,149.0,67865.0,13803.0,14724.0,28527.0,20.338908126427466,21.696014145730494,42.03492227215796,39338.0,2020
Block Group 2; Census Tract 401.05; Rutherford County; Tennessee,471490401052,531.0,149.0,78892.0,15442.0,14052.0,29494.0,19.573594280788928,17.81169193327587,37.3852862140648,49398.0,2020
